year,round,constructorId,points,wins,position
2018,8,force_india,28,0,6
2018,8,haas,27,0,7
2018,8,toro_rosso,19,0,8
2018,8,sauber,13,0,9
2018,8,williams,4,0,10
2018,9,ferrari,247,3,1
2018,9,mercedes,237,3,2
2018,9,red_bull,189,3,3
2018,9,renault,62,0,4
2018,9,haas,49,0,5
2018,9,mclaren,44,0,6
2018,9,force_india,42,0,7
2018,9,toro_rosso,19,0,8
2018,9,sauber,16,0,9
2018,9,williams,4,0,10
2018,10,ferrari,287,4,1
2018,10,mercedes,267,3,2
2018,10,red_bull,199,3,3
2018,10,renault,70,0,4
2018,10,haas,51,0,5
2018,10,force_india,49,0,6
2018,10,mclaren,48,0,7
2018,10,toro_rosso,19,0,8
2018,10,sauber,16,0,9
2018,10,williams,4,0,10
2018,11,mercedes,310,4,1
2018,11,ferrari,302,4,2
2018,11,red_bull,211,3,3
2018,11,renault,80,0,4
2018,11,force_india,59,0,5
2018,11,haas,59,0,6
2018,11,mclaren,48,0,7
2018,11,toro_rosso,20,0,8
2018,11,sauber,18,0,9
2018,11,williams,4,0,10
2018,12,mercedes,345,5,1
2018,12,ferrari,335,4,2
2018,12,red_bull,223,3,3
2018,12,renault,82,0,4
2018,12,haas,66,0,5
2018,12,force_india,59,0,6
2018,12,mclaren,52,0,7
2018,12,toro_rosso,28,0,8
2018,12,sauber,18,0,9
2018,12,williams,4,0,10
2018,13,mercedes,375,5,1
2018,13,ferrari,360,5,2
2018,13,red_bull,238,3,3
2018,13,renault,82,0,4
2018,13,force_india,77,0,5
2018,13,haas,76,0,6
2018,13,mclaren,52,0,7
2018,13,toro_rosso,30,0,8
2018,13,sauber,19,0,9
2018,13,williams,4,0,10
2018,14,mercedes,415,6,1
2018,14,ferrari,390,5,2
2018,14,red_bull,248,3,3
2018,14,force_india,91,0,4
2018,14,renault,86,0,5
2018,14,haas,76,0,6
2018,14,mclaren,52,0,7
2018,14,toro_rosso,30,0,8
2018,14,sauber,19,0,9
2018,14,williams,7,0,10
2018,15,mercedes,452,7,1
2018,15,ferrari,415,5,2
2018,15,red_bull,274,3,3
2018,15,force_india,91,0,4
2018,15,renault,91,0,5
2018,15,haas,76,0,6
2018,15,mclaren,58,0,7
2018,15,toro_rosso,30,0,8
2018,15,sauber,21,0,9
2018,15,williams,7,0,10
2018,16,mercedes,495,8,1
2018,16,ferrari,442,5,2
2018,16,red_bull,292,3,3
2018,16,force_india,94,0,4
2018,16,renault,91,0,5
2018,16,haas,80,0,6
2018,16,mclaren,58,0,7
2018,16,toro_rosso,30,0,8
2018,16,sauber,27,0,9
2018,16,williams,7,0,10
2018,17,mercedes,538,9,1
2018,17,ferrari,460,5,2
2018,17,red_bull,319,3,3
2018,17,force_india,102,0,4
2018,17,renault,92,0,5
2018,17,haas,84,0,6
2018,17,mclaren,58,0,7
2018,17,toro_rosso,30,0,8
2018,17,sauber,27,0,9
2018,17,williams,7,0,10
2018,18,mercedes,563,9,1
2018,18,ferrari,497,6,2
2018,18,red_bull,337,3,3
2018,18,force_india,106,0,4
2018,18,renault,106,0,5
2018,18,haas,84,0,6
2018,18,mclaren,58,0,7
2018,18,toro_rosso,32,0,8
2018,18,sauber,28,0,9
2018,18,williams,7,0,10
2018,19,mercedes,585,9,1
2018,19,ferrari,530,6,2
2018,19,red_bull,362,4,3
2018,19,renault,114,0,4
2018,19,force_india,106,0,5
2018,19,haas,84,0,6
2018,19,mclaren,62,0,7
2018,19,sauber,36,0,8
2018,19,toro_rosso,33,0,9
2018,19,williams,7,0,10
2018,20,mercedes,620,10,1
2018,20,ferrari,553,6,2
2018,20,red_bull,392,4,3
2018,20,renault,114,0,4
2018,20,force_india,107,0,5
2018,20,haas,90,0,6
2018,20,mclaren,62,0,7
2018,20,sauber,42,0,8
2018,20,toro_rosso,33,0,9
2018,20,williams,7,0,10
2018,21,mercedes,655,11,1
2018,21,ferrari,571,6,2
2018,21,red_bull,419,4,3
2018,21,renault,122,0,4
2018,21,force_india,111,0,5
2018,21,haas,93,0,6
2018,21,mclaren,62,0,7
2018,21,sauber,48,0,8
2018,21,toro_rosso,33,0,9
2018,21,williams,7,0,10
2019,1,mercedes,44,1,1
2019,1,ferrari,22,0,2
2019,1,red_bull,15,0,3
2019,1,haas,8,0,4
2019,1,renault,6,0,5
2019,1,alfa,4,0,6
2019,1,racing_point,2,0,7
2019,1,toro_rosso,1,0,8
2019,1,mclaren,0,0,9
2019,1,williams,0,0,10
2019,2,mercedes,87,2,1
2019,2,ferrari,48,0,2
2019,2,red_bull,31,0,3
2019,2,alfa,10,0,4
2019,2,mclaren,8,0,5
2019,2,haas,8,0,6
2019,2,renault,6,0,7
2019,2,toro_rosso,3,0,8
2019,2,racing_point,3,0,9
2019,2,williams,0,0,10
2019,3,mercedes,130,3,1
2019,3,ferrari,73,0,2
2019,3,red_bull,52,0,3
2019,3,renault,12,0,4
2019,3,alfa,12,0,5
2019,3,haas,8,0,6
2019,3,mclaren,8,0,7
2019,3,racing_point,7,0,8
2019,3,toro_rosso,4,0,9
2019,3,williams,0,0,10
2019,4,mercedes,173,4,1
2019,4,ferrari,99,0,2
2019,4,red_bull,64,0,3
2019,4,mclaren,18,0,4
2019,4,racing_point,17,0,5
2019,4,alfa,13,0,6
2019,4,renault,12,0,7
2019,4,haas,8,0,8
2019,4,toro_rosso,4,0,9
2019,4,williams,0,0,10
2019,5,mercedes,217,5,1
2019,5,ferrari,121,0,2
2019,5,red_bull,87,0,3
2019,5,mclaren,22,0,4
2019,5,racing_point,17,0,5
2019,5,haas,15,0,6
2019,5,alfa,13,0,7
2019,5,renault,12,0,8
2019,5,toro_rosso,6,0,9
2019,5,williams,0,0,10
2019,6,mercedes,257,6,1
2019,6,ferrari,139,0,2
2019,6,red_bull,110,0,3
2019,6,mclaren,30,0,4
2019,6,racing_point,17,0,5
2019,6,haas,16,0,6
2019,6,toro_rosso,16,0,7
2019,6,renault,14,0,8
2019,6,alfa,13,0,9
2019,6,williams,0,0,10
2019,7,mercedes,295,7,1
2019,7,ferrari,172,0,2
2019,7,red_bull,124,0,3
2019,7,mclaren,30,0,4
2019,7,renault,28,0,5
2019,7,racing_point,19,0,6
2019,7,toro_rosso,17,0,7
2019,7,haas,16,0,8
2019,7,alfa,13,0,9
2019,7,williams,0,0,10
2019,8,mercedes,338,8,1
2019,8,ferrari,198,0,2
2019,8,red_bull,137,0,3
2019,8,mclaren,40,0,4
2019,8,renault,32,0,5
2019,8,racing_point,19,0,6
2019,8,alfa,19,0,7
2019,8,toro_rosso,17,0,8
2019,8,haas,16,0,9
2019,8,williams,0,0,10
2019,9,mercedes,363,8,1
2019,9,ferrari,228,0,2
2019,9,red_bull,169,1,3
2019,9,mclaren,52,0,4
2019,9,renault,32,0,5
2019,9,alfa,22,0,6
2019,9,racing_point,19,0,7
2019,9,toro_rosso,17,0,8
2019,9,haas,16,0,9
2019,9,williams,0,0,10
2019,10,mercedes,407,9,1
2019,10,ferrari,243,0,2
2019,10,red_bull,191,1,3
2019,10,mclaren,60,0,4
2019,10,renault,39,0,5
2019,10,alfa,26,0,6
2019,10,racing_point,19,0,7
2019,10,toro_rosso,19,0,8
2019,10,haas,16,0,9
2019,10,williams,0,0,10
2019,11,mercedes,409,9,1
2019,11,ferrari,261,0,2
2019,11,red_bull,217,2,3
2019,11,mclaren,70,0,4
2019,11,toro_rosso,42,0,5
2019,11,renault,39,0,6
2019,11,racing_point,31,0,7
2019,11,haas,26,0,8
2019,11,alfa,26,0,9
2019,11,williams,1,0,10
2019,12,mercedes,438,10,1
2019,12,ferrari,288,0,2
2019,12,red_bull,244,2,3
2019,12,mclaren,82,0,4
2019,12,toro_rosso,43,0,5
2019,12,renault,39,0,6
2019,12,alfa,32,0,7
2019,12,racing_point,31,0,8
2019,12,haas,26,0,9
2019,12,williams,1,0,10
2019,13,mercedes,471,10,1
2019,13,ferrari,326,1,2
2019,13,red_bull,254,2,3
2019,13,mclaren,82,0,4
2019,13,toro_rosso,51,0,5
2019,13,renault,43,0,6
2019,13,racing_point,40,0,7
2019,13,alfa,32,0,8
2019,13,haas,26,0,9
2019,13,williams,1,0,10
2019,14,mercedes,505,10,1
2019,14,ferrari,351,2,2
2019,14,red_bull,266,2,3
2019,14,mclaren,83,0,4
2019,14,renault,65,0,5
2019,14,toro_rosso,51,0,6
2019,14,racing_point,46,0,7
2019,14,alfa,34,0,8
2019,14,haas,26,0,9
2019,14,williams,1,0,10
2019,15,mercedes,527,10,1
2019,15,ferrari,394,3,2
2019,15,red_bull,289,2,3
2019,15,mclaren,89,0,4
2019,15,renault,67,0,5
2019,15,toro_rosso,55,0,6
2019,15,racing_point,46,0,7
2019,15,alfa,35,0,8
2019,15,haas,26,0,9
2019,15,williams,1,0,10
2019,16,mercedes,571,11,1
2019,16,ferrari,409,3,2
2019,16,red_bull,311,2,3
2019,16,mclaren,101,0,4
2019,16,renault,68,0,5
2019,16,toro_rosso,55,0,6
2019,16,racing_point,52,0,7
2019,16,alfa,35,0,8
2019,16,haas,28,0,9
2019,16,williams,1,0,10
2019,17,mercedes,612,12,1
2019,17,ferrari,435,3,2
2019,17,red_bull,323,2,3
2019,17,mclaren,111,0,4
2019,17,renault,68,0,5
2019,17,toro_rosso,62,0,6
2019,17,racing_point,58,0,7
2019,17,alfa,35,0,8
2019,17,haas,28,0,9
2019,17,williams,1,0,10
2019,18,mercedes,652,13,1
2019,18,ferrari,466,3,2
2019,18,red_bull,341,2,3
2019,18,mclaren,111,0,4
2019,18,renault,73,0,5
2019,18,toro_rosso,64,0,6
2019,18,racing_point,64,0,7
2019,18,alfa,35,0,8
2019,18,haas,28,0,9
2019,18,williams,1,0,10
2019,19,mercedes,695,14,1
2019,19,ferrari,479,3,2
2019,19,red_bull,366,2,3
2019,19,mclaren,121,0,4
2019,19,renault,83,0,5
2019,19,racing_point,65,0,6
2019,19,toro_rosso,64,0,7
2019,19,alfa,35,0,8
2019,19,haas,28,0,9
2019,19,williams,1,0,10
2019,20,mercedes,701,14,1
2019,20,ferrari,479,3,2
2019,20,red_bull,391,3,3
2019,20,mclaren,140,0,4
2019,20,renault,91,0,5
2019,20,toro_rosso,83,0,6
2019,20,racing_point,67,0,7
2019,20,alfa,57,0,8
2019,20,haas,28,0,9
2019,20,williams,1,0,10
2019,21,mercedes,739,15,1
2019,21,ferrari,504,3,2
2019,21,red_bull,417,3,3
2019,21,mclaren,145,0,4
2019,21,renault,91,0,5
2019,21,toro_rosso,85,0,6
2019,21,racing_point,73,0,7
2019,21,alfa,57,0,8
2019,21,haas,28,0,9
2019,21,williams,1,0,10
2020,1,mercedes,37,1,1
2020,1,mclaren,26,0,2
2020,1,ferrari,19,0,3
2020,1,alphatauri,6,0,4
2020,1,renault,4,0,5
2020,1,alfa,2,0,6
2020,1,racing_point,0,0,7
2020,1,williams,0,0,8
2020,1,red_bull,0,0,9
2020,1,haas,0,0,-
2020,2,mercedes,80,2,1
2020,2,mclaren,39,0,2
2020,2,red_bull,27,0,3
2020,2,ferrari,19,0,4
2020,2,renault,8,0,5
2020,2,racing_point,7,0,6
2020,2,alphatauri,7,0,7
2020,2,alfa,2,0,8
2020,2,williams,0,0,9
2020,2,haas,0,0,10
2020,3,mercedes,121,3,1
2020,3,red_bull,55,0,2
2020,3,mclaren,41,0,3
2020,3,ferrari,27,0,4
2020,3,racing_point,25,0,5
2020,3,renault,12,0,6
2020,3,alphatauri,7,0,7
2020,3,alfa,2,0,8
2020,3,haas,1,0,9
2020,3,williams,0,0,10
2020,4,mercedes,146,4,1
2020,4,red_bull,78,0,2
2020,4,mclaren,51,0,3
2020,4,ferrari,43,0,4
2020,4,renault,32,0,5
2020,4,racing_point,27,0,6
2020,4,alphatauri,13,0,7
2020,4,alfa,2,0,8
2020,4,haas,1,0,9
2020,4,williams,0,0,10
2020,5,mercedes,180,4,1
2020,5,red_bull,113,1,2
2020,5,ferrari,55,0,3
2020,5,mclaren,53,0,4
2020,5,racing_point,41,0,5
2020,5,renault,36,0,6
2020,5,alphatauri,14,0,7
2020,5,alfa,2,0,8
2020,5,haas,1,0,9
2020,5,williams,0,0,10
2020,6,mercedes,221,5,1
2020,6,red_bull,135,1,2
2020,6,racing_point,63,0,3
2020,6,mclaren,62,0,4
2020,6,ferrari,61,0,5
2020,6,renault,36,0,6
2020,6,alphatauri,16,0,7
2020,6,alfa,2,0,8
2020,6,haas,1,0,9
2020,6,williams,0,0,10
2020,7,mercedes,264,6,1
2020,7,red_bull,158,1,2
2020,7,mclaren,68,0,3
2020,7,racing_point,66,0,4
2020,7,ferrari,61,0,5
2020,7,renault,59,0,6
2020,7,alphatauri,20,0,7
2020,7,alfa,2,0,8
2020,7,haas,1,0,9
2020,7,williams,0,0,10
2020,8,mercedes,281,6,1
2020,8,red_bull,158,1,2
2020,8,mclaren,98,0,3
2020,8,racing_point,82,0,4
2020,8,renault,71,0,5
2020,8,ferrari,61,0,6
2020,8,alphatauri,47,1,7
2020,8,alfa,2,0,8
2020,8,haas,1,0,9
2020,8,williams,0,0,10
2020,9,mercedes,325,7,1
2020,9,red_bull,173,1,2
2020,9,mclaren,106,0,3
2020,9,racing_point,92,0,4
2020,9,renault,83,0,5
2020,9,ferrari,66,0,6
2020,9,alphatauri,53,1,7
2020,9,alfa,4,0,8
2020,9,haas,1,0,9
2020,9,williams,0,0,10
2020,10,mercedes,366,8,1
2020,10,red_bull,192,1,2
2020,10,mclaren,106,0,3
2020,10,racing_point,104,0,4
2020,10,renault,99,0,5
2020,10,ferrari,74,0,6
2020,10,alphatauri,59,1,7
2020,10,alfa,4,0,8
2020,10,haas,1,0,9
2020,10,williams,0,0,10
2020,11,mercedes,391,9,1
2020,11,red_bull,211,1,2
2020,11,racing_point,120,0,3
2020,11,mclaren,116,0,4
2020,11,renault,114,0,5
2020,11,ferrari,80,0,6
2020,11,alphatauri,67,1,7
2020,11,alfa,5,0,8
2020,11,haas,3,0,9
2020,11,williams,0,0,10
2020,12,mercedes,435,10,1
2020,12,red_bull,226,1,2
2020,12,racing_point,126,0,3
2020,12,mclaren,124,0,4
2020,12,renault,120,0,5
2020,12,ferrari,93,0,6
2020,12,alphatauri,77,1,7
2020,12,alfa,5,0,8
2020,12,haas,3,0,9
2020,12,williams,0,0,10
2020,13,mercedes,479,11,1
2020,13,red_bull,226,1,2
2020,13,renault,135,0,3
2020,13,mclaren,134,0,4
2020,13,racing_point,134,0,5
2020,13,ferrari,103,0,6
2020,13,alphatauri,89,1,7
2020,13,alfa,8,0,8
2020,13,haas,3,0,9
2020,13,williams,0,0,10
2020,14,mercedes,504,12,1
2020,14,red_bull,240,1,2
2020,14,racing_point,154,0,3
2020,14,mclaren,149,0,4
2020,14,renault,136,0,5
2020,14,ferrari,130,0,6
2020,14,alphatauri,89,1,7
2020,14,alfa,8,0,8
2020,14,haas,3,0,9
2020,14,williams,0,0,10
2020,15,mercedes,533,13,1
2020,15,red_bull,274,1,2
2020,15,mclaren,171,0,3
2020,15,racing_point,154,0,4
2020,15,renault,144,0,5
2020,15,ferrari,131,0,6
2020,15,alphatauri,97,1,7
2020,15,alfa,8,0,8
2020,15,haas,3,0,9
2020,15,williams,0,0,10
2020,16,mercedes,540,13,1
2020,16,red_bull,282,1,2
2020,16,racing_point,194,1,3
2020,16,mclaren,184,0,4
2020,16,renault,172,0,5
2020,16,ferrari,131,0,6
2020,16,alphatauri,103,1,7
2020,16,alfa,8,0,8
2020,16,haas,3,0,9
2020,16,williams,0,0,10
2020,17,mercedes,573,13,1
2020,17,red_bull,319,2,2
2020,17,mclaren,202,0,3
2020,17,racing_point,195,1,4
2020,17,renault,181,0,5
2020,17,ferrari,131,0,6
2020,17,alphatauri,107,1,7
2020,17,alfa,8,0,8
2020,17,haas,3,0,9
2020,17,williams,0,0,10
2021,1,mercedes,41,1,1
2021,1,red_bull,28,0,2
2021,1,mclaren,18,0,3
2021,1,ferrari,12,0,4
2021,1,alphatauri,2,0,5
2021,1,aston_martin,1,0,6
2021,1,alfa,0,0,7
2021,1,alpine,0,0,8
2021,1,williams,0,0,9
2021,1,haas,0,0,10
2021,2,mercedes,60,1,1
2021,2,red_bull,53,1,2
2021,2,mclaren,41,0,3
2021,2,ferrari,34,0,4
2021,2,alphatauri,8,0,5
2021,2,aston_martin,5,0,6
2021,2,alpine,3,0,7
2021,2,alfa,0,0,8
2021,2,williams,0,0,9
2021,2,haas,0,0,10
2021,3,mercedes,101,2,1
2021,3,red_bull,83,1,2
2021,3,mclaren,53,0,3
2021,3,ferrari,42,0,4
2021,3,alpine,13,0,5
2021,3,alphatauri,9,0,6
2021,3,aston_martin,5,0,7
2021,3,alfa,0,0,8
2021,3,williams,0,0,9
2021,3,haas,0,0,10
2021,4,mercedes,141,3,1
2021,4,red_bull,112,1,2
2021,4,mclaren,65,0,3
2021,4,ferrari,60,0,4
2021,4,alpine,15,0,5
2021,4,alphatauri,10,0,6
2021,4,aston_martin,5,0,7
2021,4,alfa,0,0,8
2021,4,williams,0,0,9
2021,4,haas,0,0,10
2021,5,red_bull,149,2,1
2021,5,mercedes,148,3,2
2021,5,mclaren,80,0,3
2021,5,ferrari,78,0,4
2021,5,aston_martin,19,0,5
2021,5,alphatauri,18,0,6
2021,5,alpine,17,0,7
2021,5,alfa,1,0,8
2021,5,williams,0,0,9
2021,5,haas,0,0,10
2021,6,red_bull,174,3,1
2021,6,mercedes,148,3,2
2021,6,ferrari,94,0,3
2021,6,mclaren,92,0,4
2021,6,alphatauri,39,0,5
2021,6,aston_martin,37,0,6
2021,6,alpine,25,0,7
2021,6,alfa,2,0,8
2021,6,haas,0,0,9
2021,6,williams,0,0,10
2021,7,red_bull,215,4,1
2021,7,mercedes,178,3,2
2021,7,mclaren,110,0,3
2021,7,ferrari,94,0,4
2021,7,alphatauri,45,0,5
2021,7,aston_martin,40,0,6
2021,7,alpine,29,0,7
2021,7,alfa,2,0,8
2021,7,williams,0,0,9
2021,7,haas,0,0,10
2021,8,red_bull,252,5,1
2021,8,mercedes,212,3,2
2021,8,mclaren,120,0,3
2021,8,ferrari,108,0,4
2021,8,alphatauri,46,0,5
2021,8,aston_martin,44,0,6
2021,8,alpine,31,0,7
2021,8,alfa,2,0,8
2021,8,williams,0,0,9
2021,8,haas,0,0,10
2021,9,red_bull,286,6,1
2021,9,mercedes,242,3,2
2021,9,mclaren,141,0,3
2021,9,ferrari,122,0,4
2021,9,alphatauri,48,0,5
2021,9,aston_martin,44,0,6
2021,9,alpine,32,0,7
2021,9,alfa,2,0,8
2021,9,williams,0,0,9
2021,9,haas,0,0,10
2021,10,red_bull,289,6,1
2021,10,mercedes,285,4,2
2021,10,mclaren,163,0,3
2021,10,ferrari,148,0,4
2021,10,alphatauri,49,0,5
2021,10,aston_martin,48,0,6
2021,10,alpine,40,0,7
2021,10,alfa,2,0,8
2021,10,williams,0,0,9
2021,10,haas,0,0,10
2021,11,mercedes,303,4,1
2021,11,red_bull,291,6,2
2021,11,ferrari,163,0,3
2021,11,mclaren,163,0,4
2021,11,alpine,77,1,5
2021,11,alphatauri,68,0,6
2021,11,aston_martin,48,0,7
2021,11,williams,10,0,8
2021,11,alfa,3,0,9
2021,11,haas,0,0,10
2021,12,mercedes,310.5,4,1
2021,12,red_bull,303.5,7,2
2021,12,mclaren,169,0,3
2021,12,ferrari,165.5,0,4
2021,12,alpine,80,1,5
2021,12,alphatauri,72,0,6
2021,12,aston_martin,53,0,7
2021,12,williams,20,0,8
2021,12,alfa,3,0,9
2021,12,haas,0,0,10
2021,13,mercedes,344.5,4,1
2021,13,red_bull,332.5,8,2
2021,13,ferrari,181.5,0,3
2021,13,mclaren,170,0,4
2021,13,alpine,90,1,5
2021,13,alphatauri,84,0,6
2021,13,aston_martin,53,0,7
2021,13,williams,20,0,8
2021,13,alfa,3,0,9
2021,13,haas,0,0,10
2021,14,mercedes,362.5,4,1
2021,14,red_bull,344.5,8,2
2021,14,mclaren,215,1,3
2021,14,ferrari,201.5,0,4
2021,14,alpine,95,1,5
2021,14,alphatauri,84,0,6
2021,14,aston_martin,59,0,7
2021,14,williams,22,0,8
2021,14,alfa,3,0,9
2021,14,haas,0,0,10
2021,15,mercedes,397.5,5,1
2021,15,red_bull,364.5,8,2
2021,15,mclaren,234,1,3
2021,15,ferrari,216.5,0,4
2021,15,alpine,103,1,5
2021,15,alphatauri,84,0,6
2021,15,aston_martin,59,0,7
2021,15,williams,23,0,8
2021,15,alfa,7,0,9
2021,15,haas,0,0,10
2021,16,mercedes,433.5,6,1
2021,16,red_bull,397.5,8,2
2021,16,mclaren,240,1,3
2021,16,ferrari,232.5,0,4
2021,16,alpine,104,1,5
2021,16,alphatauri,92,0,6
2021,16,aston_martin,61,0,7
2021,16,williams,23,0,8
2021,16,alfa,7,0,9
2021,16,haas,0,0,10
2021,17,mercedes,460.5,6,1
2021,17,red_bull,437.5,9,2
2021,17,mclaren,254,1,3
2021,17,ferrari,250.5,0,4
2021,17,alpine,104,1,5
2021,17,alphatauri,94,0,6
2021,17,aston_martin,62,0,7
2021,17,williams,23,0,8
2021,17,alfa,7,0,9
2021,17,haas,0,0,10
2021,18,mercedes,478.5,6,1
2021,18,red_bull,477.5,10,2
2021,18,ferrari,268.5,0,3
2021,18,mclaren,255,1,4
2021,18,alpine,106,1,5
2021,18,alphatauri,106,0,6
2021,18,aston_martin,68,0,7
2021,18,williams,23,0,8
2021,18,alfa,11,0,9
2021,18,haas,0,0,10
2021,19,mercedes,521.5,7,1
2021,19,red_bull,510.5,10,2
2021,19,ferrari,287.5,0,3
2021,19,mclaren,256,1,4
2021,19,alpine,112,1,5
2021,19,alphatauri,112,0,6
2021,19,aston_martin,68,0,7
2021,19,williams,23,0,8
2021,19,alfa,11,0,9
2021,19,haas,0,0,10
2021,20,mercedes,546.5,8,1
2021,20,red_bull,541.5,10,2
2021,20,ferrari,297.5,0,3
2021,20,mclaren,258,1,4
2021,20,alpine,137,1,5
2021,20,alphatauri,112,0,6
2021,20,aston_martin,77,0,7
2021,20,williams,23,0,8
2021,20,alfa,11,0,9
2021,20,haas,0,0,10
2021,21,mercedes,587.5,9,1
2021,21,red_bull,559.5,10,2
2021,21,ferrari,307.5,0,3
2021,21,mclaren,269,1,4
2021,21,alpine,149,1,5
2021,21,alphatauri,120,0,6
2021,21,aston_martin,77,0,7
2021,21,williams,23,0,8
2021,21,alfa,13,0,9
2021,21,haas,0,0,10
2021,22,mercedes,613.5,9,1
2021,22,red_bull,585.5,11,2
2021,22,ferrari,323.5,0,3
2021,22,mclaren,275,1,4
2021,22,alpine,155,1,5
2021,22,alphatauri,142,0,6
2021,22,aston_martin,77,0,7
2021,22,williams,23,0,8
2021,22,alfa,13,0,9
2021,22,haas,0,0,10
2022,1,ferrari,44,1,1
2022,1,mercedes,27,0,2
2022,1,haas,10,0,3
2022,1,alfa,9,0,4
2022,1,alpine,8,0,5
2022,1,alphatauri,4,0,6
2022,1,aston_martin,0,0,7
2022,1,williams,0,0,8
2022,1,mclaren,0,0,9
2022,1,red_bull,0,0,10
2022,2,ferrari,78,1,1
2022,2,mercedes,38,0,2
2022,2,red_bull,37,1,3
2022,2,alpine,16,0,4
2022,2,haas,12,0,5
2022,2,alfa,9,0,6
2022,2,alphatauri,8,0,7
2022,2,mclaren,6,0,8
2022,2,aston_martin,0,0,9
2022,2,williams,0,0,10
2022,3,ferrari,104,2,1
2022,3,mercedes,65,0,2
2022,3,red_bull,55,1,3
2022,3,mclaren,24,0,4
2022,3,alpine,22,0,5
2022,3,alfa,13,0,6
2022,3,haas,12,0,7
2022,3,alphatauri,10,0,8
2022,3,williams,1,0,9
2022,3,aston_martin,0,0,10
2022,4,ferrari,124,2,1
2022,4,red_bull,113,2,2
2022,4,mercedes,77,0,3
2022,4,mclaren,46,0,4
2022,4,alfa,25,0,5
2022,4,alpine,22,0,6
2022,4,alphatauri,16,0,7
2022,4,haas,15,0,8
2022,4,aston_martin,5,0,9
2022,4,williams,1,0,10
2022,5,ferrari,157,2,1
2022,5,red_bull,151,3,2
2022,5,mercedes,95,0,3
2022,5,mclaren,46,0,4
2022,5,alfa,31,0,5
2022,5,alpine,26,0,6
2022,5,alphatauri,16,0,7
2022,5,haas,15,0,8
2022,5,aston_martin,6,0,9
2022,5,williams,3,0,10
2022,6,red_bull,195,4,1
2022,6,ferrari,169,2,2
2022,6,mercedes,120,0,3
2022,6,mclaren,50,0,4
2022,6,alfa,39,0,5
2022,6,alpine,34,0,6
2022,6,alphatauri,17,0,7
2022,6,haas,15,0,8
2022,6,aston_martin,6,0,9
2022,6,williams,3,0,10
2022,7,red_bull,235,5,1
2022,7,ferrari,199,2,2
2022,7,mercedes,134,0,3
2022,7,mclaren,59,0,4
2022,7,alfa,41,0,5
2022,7,alpine,40,0,6
2022,7,alphatauri,17,0,7
2022,7,haas,15,0,8
2022,7,aston_martin,7,0,9
2022,7,williams,3,0,10
2022,8,red_bull,279,6,1
2022,8,ferrari,199,2,2
2022,8,mercedes,161,0,3
2022,8,mclaren,65,0,4
2022,8,alpine,47,0,5
2022,8,alfa,41,0,6
2022,8,alphatauri,27,0,7
2022,8,haas,15,0,8
2022,8,aston_martin,15,0,9
2022,8,williams,3,0,10
2022,9,red_bull,304,7,1
2022,9,ferrari,228,2,2
2022,9,mercedes,188,0,3
2022,9,mclaren,65,0,4
2022,9,alpine,57,0,5
2022,9,alfa,51,0,6
2022,9,alphatauri,27,0,7
